Stack,SB,B,CO,HJ,LJ,UTG+3,UTG+2,UTG+1,UTG
1,100.00,87.90,100.00,100.00,100.00,100.00,100.00,100.00,100.00
2,100.00,68.00,80.70,84.60,85.50,85.50,85.50,85.50,85.50
3,92.50,60.20,59.30,56.90,55.70,54.10,54.40,55.70,54.40
4,85.00,55.00,55.00,50.00,45.00,45.00,45.00,40.00,40.00
5,81.90,53.50,43.60,39.10,33.00,30.60,27.00,23.40,21.70
6,80.10,50.80,41.80,35.50,32.40,28.20,24.60,21.30,18.70
7,76.20,49.00,40.60,35.70,30.30,24.90,21.30,18.70,16.90
8,74.40,46.30,36.70,29.40,27.30,23.40,19.50,17.50,15.20
9,72.90,45.10,35.40,33.00,25.20,21.90,18.70,15.70,14.60
10,71.00,43.00,34.20,30.30,24.00,20.40,17.20,15.40,13.40
11,68.30,40.60,33.00,27.30,22.50,17.90,16.60,14.60,12.70
12,66.20,40.60,32.70,26.10,21.00,17.80,15.10,12.70,11.80
13,64.70,37.60,31.80,24.90,20.40,16.60,14.60,12.80,10.40
14,62.90,37.30,29.70,23.10,18.30,16.00,13.70,11.50,9.80
15,60.50,36.30,29.70,22.50,17.60,15.10,12.80,10.40,9.40
